STATIONID,STATIONCNNAME,STATIONENABBRNAME,STATIONTYPE,VIRTUALFLAG,ENABLEFLAG,ROWFLAG,CREATIONTIME,STATIONCNABBRNAME,lng,lat,lng_lat
1,奥体中心,OLYMPIC STADIUM,0,0,1,1,41834.41839,AT,118.724648 ,32.014641 ,"118.724648,32.014641"
2,元通,YUANTONG,1,0,1,1,41834.42017,YT,118.728019 ,32.001636 ,"118.728019,32.001636"
3,中胜,ZHONGSHENG,0,0,1,1,41834.42063,ZS,118.740078 ,31.993863 ,"118.740078,31.993863"
4,小行,XIAOHANG,0,0,1,1,41834.42095,XH,118.750965 ,31.988061 ,"118.750965,31.988061"
5,安德门,ANDEMEN,1,0,1,1,41737.57271,ADM,118.768408 ,31.997111 ,"118.768408,31.997111"
6,中华门,ZHONGHUAMEN,0,0,1,1,41737.57271,ZHM,118.781161 ,32.013023 ,"118.781161,32.013023"
7,三山街,SANSHANJIE,0,0,1,1,41737.57271,SSJ,118.788135 ,32.029064 ,"118.788135,32.029064"
8,张府园,ZHANGFUYUAN,0,0,1,1,41737.57271,ZFY,118.790427 ,32.037220 ,"118.790427,32.03722"
9,新街口,XINJIEKOU,1,0,1,1,41737.57271,XJK,118.790611 ,32.047616 ,"118.790611,32.047616"
10,珠江路,ZHUJIANGLU,0,0,1,1,41737.57271,ZJL,118.790662 ,32.057327 ,"118.790662,32.057327"
11,鼓楼,GULOU,1,0,1,1,42660.80328,GL,118.789995 ,32.065070 ,"118.789995,32.06507"
12,玄武门,XUANWUMEN,0,0,1,1,41737.57271,XWM,118.790617 ,32.076336 ,"118.790617,32.076336"
13,新模范马路,XINMOFANMALU,0,0,1,1,41737.694,XMFML,118.790488 ,32.086151 ,"118.790488,32.086151"
14,南京站,NANJING RAILWAY STATION,1,0,1,1,41999.65983,NJZ,118.802629 ,32.094062 ,"118.802629,32.094062"
15,红山动物园,HONGSHAN ZOO,0,0,1,1,41737.69436,HSDWY,118.808457 ,32.102101 ,"118.808457,32.102101"
16,迈皋桥,MAIGAOQIAO,0,0,1,1,41737.57271,MGQ,118.816053 ,32.108986 ,"118.816053,32.108986"
17,油坊桥,YOUFANGQIAO,0,0,1,1,41737.57271,YFQ,118.727901 ,31.972224 ,"118.727901,31.972224"
18,雨润大街,YURUNDAJIE,0,0,1,1,41737.57271,YRDJ,118.729209 ,31.989406 ,"118.729209,31.989406"
19,奥体东,OLYMPIC STADIUM EAST,0,0,1,1,41779.39833,ATD,118.735757 ,32.010439 ,"118.735757,32.010439"
20,兴隆大街,XINGLONGDAJIE,0,0,1,1,41737.57271,XLDJ,118.742628 ,32.021183 ,"118.742628,32.021183"
21,集庆门大街,JIQINGMENDAJIE,0,0,1,1,41737.57271,JQMDJ,118.746134 ,32.034166 ,"118.746134,32.034166"
22,云锦路,YUNJINLU,0,0,1,1,41737.57271,YJL,118.753993 ,32.040720 ,"118.753993,32.04072"
23,莫愁湖,MOCHOUHU,0,0,1,1,41737.57271,MCH,118.765195 ,32.043606 ,"118.765195,32.043606"
24,汉中门,HANZHONGMEN,0,0,1,1,41737.57271,HZM,118.773550 ,32.048671 ,"118.77355,32.048671"
25,上海路,SHANGHAILU,0,0,1,1,41737.57271,SHL,118.782521 ,32.048316 ,"118.782521,32.048316"
26,大行宫,DAXINGGONG,1,0,1,1,41999.66078,DXG,118.801217 ,32.047738 ,"118.801217,32.047738"
27,西安门,XI'ANMEN,0,0,1,1,41737.57271,XAM,118.812128 ,32.046538 ,"118.812128,32.046538"
28,明故宫,MINGGUGONG,0,0,1,1,41737.57271,MGG,118.825883 ,32.045374 ,"118.825883,32.045374"
29,苜蓿园,MUXUYUAN,0,0,1,1,41737.57271,MXY,118.841625 ,32.045951 ,"118.841625,32.045951"
30,下马坊,XIAMAFANG,0,0,1,1,41737.57271,XMF,118.855049 ,32.043208 ,"118.855049,32.043208"
31,孝陵卫,XIAOLINGWEI,0,0,1,1,41737.57271,XLW,118.864929 ,32.041124 ,"118.864929,32.041124"
32,钟灵街,ZHONGLINGJIE,0,0,1,1,41737.57271,ZLJ,118.875980 ,32.044872 ,"118.87598,32.044872"
33,马群,MAQUN,0,0,1,1,41737.57271,MQ,118.901053 ,32.055735 ,"118.901053,32.055735"
34,金马路,JINMALU,1,0,1,1,42660.80404,JML,118.912541 ,32.077876 ,"118.912541,32.077876"
35,仙鹤门,XIANHEMEN,0,0,1,1,41737.57271,XHM,118.911331 ,32.091148 ,"118.911331,32.091148"
36,学则路,XUEZELU,0,0,1,1,41737.57271,XZL,118.923278 ,32.097712 ,"118.923278,32.097712"
37,仙林中心,XIANLINZHONGXIN,0,0,1,1,41737.57271,XLZX,118.936854 ,32.105107 ,"118.936854,32.105107"
38,羊山公园,YANGSHANGONGYUAN,0,0,1,1,41737.57271,YSGY,118.946532 ,32.110063 ,"118.946532,32.110063"
39,南大仙林校区,NJU XIANLIN CAMPUS,0,0,1,1,41779.39896,NDXLXQ,118.965855 ,32.114626 ,"118.965855,32.114626"
40,经天路,JINGTIANLU,0,0,1,1,41737.57271,JTL,118.983258 ,32.121835 ,"118.983258,32.121835"
41,天隆寺,TIANLONGSI,0,0,1,1,41737.57271,TLS,118.769449 ,31.985103 ,"118.769449,31.985103"
42,软件大道,RUANJIANDADAO,0,0,1,1,41737.57271,RJDD,118.781038 ,31.983270 ,"118.781038,31.98327"
43,花神庙,HUASHENMIAO,0,0,1,1,41737.57271,HSM,118.792022 ,31.984143 ,"118.792022,31.984143"
44,南京南站,NANJING SOUTH RAILWAY STATION,1,0,1,1,41737.57271,NJNZ,118.804195 ,31.975761 ,"118.804195,31.975761"
45,双龙大道,SHUANGLONGDADAO,0,0,1,1,41737.57271,SLDD,118.823612 ,31.970204 ,"118.823612,31.970204"
46,河定桥,HEDINGQIAO,0,0,1,1,41737.57271,HDQ,118.826640 ,31.958253 ,"118.82664,31.958253"
47,胜太路,SHENGTAILU,0,0,1,1,41737.57271,STL,118.828062 ,31.949970 ,"118.828062,31.94997"
48,百家湖,BAIJIAHU,0,0,1,1,41737.57271,BJH,118.827721 ,31.938066 ,"118.827721,31.938066"
49,小龙湾,XIAOLONGWAN,0,0,1,1,41737.57271,XLW,118.839381 ,31.935698 ,"118.839381,31.935698"
